"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"49","Fermes &amp; cueillettes",,,,"1","4","1","45","2015-06-09 10:17:03","2019-06-28 09:10:51",NULL
"50","Zoos &amp; autres curiosités",,,,"1","0","1","45","2015-06-09 10:17:03","2019-06-28 09:10:40",NULL
"51","Cinés sympas",,,,"2","7","1","45","2015-06-09 10:17:03","2020-06-23 12:42:46",NULL
"52","Au bord d&#039;une rivière",,,,"1","5","1","45","2015-06-09 10:17:03","2019-06-28 09:10:51",NULL
"53","Yoga, massages bébés",,,,"2","8","0","45","2015-06-09 10:17:03","2020-06-23 12:42:46","Johann et Mylène Pailloux"
"54","Ateliers cuisine",,,,"2","0","1","45","2015-06-09 10:17:03","2020-06-23 12:42:18","Johann et Mylène Pailloux"
"55","Ateliers créations",,,,"2","3","1","45","2015-06-09 10:17:03","2020-06-23 12:42:38","Johann et Mylène Pailloux"
"56","Eveil musical",,,,"2","4","1","45","2015-06-09 10:17:03","2020-06-23 12:42:38",NULL
"57","Sport",,,,"4","0","1","45","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"58","Loisirs dedans",,,,"4","2","1","45","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"59","Loisirs dehors",,,,"4","3","1","45","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"60","Les Festivals",,,,"2","2","1","45","2015-06-09 10:17:03","2020-06-23 12:42:38","Johann et Mylène Pailloux"
"61","Langues",,,,"2","1","1","45","2015-06-09 10:17:03","2020-06-23 12:42:38","Johann et Mylène Pailloux"
"62","Petits créatifs ",,,,"2","4","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"63","Patrimoine",,,,"3","1","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"64","Musique",,,,"2","2","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"65","Langues &amp; cultures du monde",,,,"2","6","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
